DrugBank ID,Name,Type,UniProt ID,UniProt Name
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P07307,Asialoglycoprotein receptor 2
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P11021,78 kDa glucose-regulated protein
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P27797,Calreticulin
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P27824,Calnexin
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,P49257,Protein ERGIC-53
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,Q07954,Prolow-density lipoprotein receptor-related protein 1
DB00025,"Antihemophilic factor, human recombinant",BiotechDrug,Q8NI22,Multiple coagulation factor deficiency protein 2
DB00026,Anakinra,BiotechDrug,P14778,Interleukin-1 receptor type 1
DB00028,Human immunoglobulin G,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00028,Human immunoglobulin G,BiotechDrug,Q92637,High affinity immunoglobulin gamma Fc receptor IB
DB00028,Human immunoglobulin G,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00028,Human immunoglobulin G,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00028,Human immunoglobulin G,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00028,Human immunoglobulin G,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00028,Human immunoglobulin G,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00028,Human immunoglobulin G,BiotechDrug,P01024,Complement C3
DB00028,Human immunoglobulin G,BiotechDrug,P0C0L4,Complement C4-A
DB00028,Human immunoglobulin G,BiotechDrug,P0C0L5,Complement C4-B
DB00028,Human immunoglobulin G,BiotechDrug,P01031,Complement C5
DB00029,Anistreplase,BiotechDrug,P00747,Plasminogen
DB00029,Anistreplase,BiotechDrug,P02671,Fibrinogen alpha chain
DB00029,Anistreplase,BiotechDrug,P05121,Plasminogen activator inhibitor 1
DB00030,Insulin human,BiotechDrug,P06213,Insulin receptor
DB00030,Insulin human,BiotechDrug,P08069,Insulin-like growth factor 1 receptor
DB00030,Insulin human,BiotechDrug,P16870,Carboxypeptidase E
DB00030,Insulin human,BiotechDrug,P48745,Protein NOV homolog
DB00030,Insulin human,BiotechDrug,P98164,Low-density lipoprotein receptor-related protein 2
DB00030,Insulin human,BiotechDrug,Q16270,Insulin-like growth factor-binding protein 7
DB00031,Tenecteplase,BiotechDrug,P00747,Plasminogen
DB00031,Tenecteplase,BiotechDrug,P02671,Fibrinogen alpha chain
DB00031,Tenecteplase,BiotechDrug,Q03405,Urokinase plasminogen activator surface receptor
DB00031,Tenecteplase,BiotechDrug,P05121,Plasminogen activator inhibitor 1
DB00031,Tenecteplase,BiotechDrug,P05120,Plasminogen activator inhibitor 2
DB00031,Tenecteplase,BiotechDrug,P05452,Tetranectin
DB00031,Tenecteplase,BiotechDrug,P05787,"Keratin, type II cytoskeletal 8"
DB00031,Tenecteplase,BiotechDrug,P07355,Annexin A2
DB00031,Tenecteplase,BiotechDrug,P27797,Calreticulin
DB00031,Tenecteplase,BiotechDrug,P27824,Calnexin
DB00031,Tenecteplase,BiotechDrug,Q07954,Prolow-density lipoprotein receptor-related protein 1
DB00032,Menotropins,BiotechDrug,P23945,Follicle-stimulating hormone receptor
DB00032,Menotropins,BiotechDrug,P22888,Lutropin-choriogonadotropic hormone receptor
DB00033,Interferon gamma-1b,BiotechDrug,P15260,Interferon gamma receptor 1
DB00033,Interferon gamma-1b,BiotechDrug,P38484,Interferon gamma receptor 2
DB00034,Interferon alfa-2a,BiotechDrug,P17181,Interferon alpha/beta receptor 1
DB00034,Interferon alfa-2a,BiotechDrug,P48551,Interferon alpha/beta receptor 2
DB00035,Desmopressin,SmallMoleculeDrug,P30518,Vasopressin V2 receptor
DB00035,Desmopressin,SmallMoleculeDrug,P37288,Vasopressin V1a receptor
DB00035,Desmopressin,SmallMoleculeDrug,P47901,Vasopressin V1b receptor
DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P00742,Coagulation factor X
DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P13726,Tissue factor
DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P10646,Tissue factor pathway inhibitor
DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P38435,Vitamin K-dependent gamma-carboxylase
DB00036,Coagulation factor VIIa Recombinant Human,BiotechDrug,P08709,Coagulation factor VII
DB00038,Oprelvekin,BiotechDrug,Q14626,Interleukin-11 receptor subunit alpha
DB00039,Palifermin,BiotechDrug,P21802,Fibroblast growth factor receptor 2
DB00039,Palifermin,BiotechDrug,P11362,Fibroblast growth factor receptor 1
DB00039,Palifermin,BiotechDrug,P98160,Basement membrane-specific heparan sulfate proteoglycan core protein
DB00040,Glucagon,BiotechDrug,P47871,Glucagon receptor
DB00040,Glucagon,BiotechDrug,O95838,Glucagon-like peptide 2 receptor
DB00040,Glucagon,BiotechDrug,P43220,Glucagon-like peptide 1 receptor
DB00041,Aldesleukin,BiotechDrug,P14784,Interleukin-2 receptor subunit beta
DB00041,Aldesleukin,BiotechDrug,P01589,Interleukin-2 receptor subunit alpha
DB00041,Aldesleukin,BiotechDrug,P31785,Cytokine receptor common subunit gamma
DB00042,Botulinum toxin type B,BiotechDrug,P63027,Vesicle-associated membrane protein 2
DB00042,Botulinum toxin type B,BiotechDrug,P23763,Vesicle-associated membrane protein 1
DB00042,Botulinum toxin type B,BiotechDrug,Q8N9I0,Synaptotagmin-2
DB00043,Omalizumab,BiotechDrug,P12319,High affinity immunoglobulin epsilon receptor subunit alpha
DB00043,Omalizumab,BiotechDrug,Q01362,High affinity immunoglobulin epsilon receptor subunit beta
DB00044,Lutropin alfa,BiotechDrug,P22888,Lutropin-choriogonadotropic hormone receptor
DB00045,Lyme disease vaccine (recombinant OspA),BiotechDrug,O60603,Toll-like receptor 2
DB00046,Insulin lispro,BiotechDrug,P06213,Insulin receptor
DB00046,Insulin lispro,BiotechDrug,P08069,Insulin-like growth factor 1 receptor
DB00047,Insulin glargine,BiotechDrug,P06213,Insulin receptor
DB00047,Insulin glargine,BiotechDrug,P08069,Insulin-like growth factor 1 receptor
DB00048,Collagenase clostridium histolyticum,BiotechDrug,P02452,Collagen alpha-1(I) chain
DB00048,Collagenase clostridium histolyticum,BiotechDrug,P02458,Collagen alpha-1(II) chain
DB00048,Collagenase clostridium histolyticum,BiotechDrug,P02461,Collagen alpha-1(III) chain
DB00050,Cetrorelix,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor
DB00050,Cetrorelix,SmallMoleculeDrug,P22888,Lutropin-choriogonadotropic hormone receptor
DB00051,Adalimumab,BiotechDrug,P01375,Tumor necrosis factor
DB00052,Somatotropin,BiotechDrug,P10912,Growth hormone receptor
DB00052,Somatotropin,BiotechDrug,P16471,Prolactin receptor
DB00054,Abciximab,BiotechDrug,P05106,Integrin beta-3
DB00054,Abciximab,BiotechDrug,P08514,Integrin alpha-IIb
DB00054,Abciximab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00054,Abciximab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00054,Abciximab,BiotechDrug,P04004,Vitronectin
DB00055,Drotrecogin alfa,BiotechDrug,P00451,Coagulation factor VIII
DB00055,Drotrecogin alfa,BiotechDrug,P12259,Coagulation factor V
DB00055,Drotrecogin alfa,BiotechDrug,P05121,Plasminogen activator inhibitor 1
DB00055,Drotrecogin alfa,BiotechDrug,P07204,Thrombomodulin
DB00055,Drotrecogin alfa,BiotechDrug,P07225,Vitamin K-dependent protein S
DB00055,Drotrecogin alfa,BiotechDrug,P00734,Prothrombin
DB00055,Drotrecogin alfa,BiotechDrug,P02776,Platelet factor 4
DB00055,Drotrecogin alfa,BiotechDrug,P05154,Plasma serine protease inhibitor
DB00055,Drotrecogin alfa,BiotechDrug,P35237,Serpin B6
DB00055,Drotrecogin alfa,BiotechDrug,Q9UNN8,Endothelial protein C receptor
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P20138,Myeloid cell surface antigen CD33
DB00056,Gemtuzumab ozogamicin,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00056,Gemtuzumab ozogamicin,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00058,Alpha-1-proteinase inhibitor,BiotechDrug,P08246,Neutrophil elastase
DB00060,Interferon beta-1a,BiotechDrug,P17181,Interferon alpha/beta receptor 1
DB00060,Interferon beta-1a,BiotechDrug,P48551,Interferon alpha/beta receptor 2
DB00061,Pegademase,BiotechDrug,P62993,Growth factor receptor-bound protein 2
DB00063,Eptifibatide,BiotechDrug,P05106,Integrin beta-3
DB00063,Eptifibatide,BiotechDrug,A0A024R8I1,Voltage-dependent N-type calcium channel subunit alpha
DB00063,Eptifibatide,BiotechDrug,Q00975,Voltage-dependent N-type calcium channel subunit alpha-1B
DB00065,Infliximab,BiotechDrug,P01375,Tumor necrosis factor
DB00066,Follitropin,BiotechDrug,P23945,Follicle-stimulating hormone receptor
DB00067,Vasopressin,SmallMoleculeDrug,P30518,Vasopressin V2 receptor
DB00067,Vasopressin,SmallMoleculeDrug,P37288,Vasopressin V1a receptor
DB00067,Vasopressin,SmallMoleculeDrug,P47901,Vasopressin V1b receptor
DB00067,Vasopressin,SmallMoleculeDrug,P30559,Oxytocin receptor
DB00068,Interferon beta-1b,BiotechDrug,P17181,Interferon alpha/beta receptor 1
DB00068,Interferon beta-1b,BiotechDrug,P48551,Interferon alpha/beta receptor 2
DB00069,Interferon alfacon-1,BiotechDrug,P17181,Interferon alpha/beta receptor 1
DB00069,Interferon alfacon-1,BiotechDrug,P48551,Interferon alpha/beta receptor 2
DB00070,Hyaluronidase (ovine),BiotechDrug,P01137,Transforming growth factor beta-1
DB00071,Insulin pork,BiotechDrug,P06213,Insulin receptor
DB00071,Insulin pork,BiotechDrug,P08069,Insulin-like growth factor 1 receptor
DB00072,Trastuzumab,BiotechDrug,P04626,Receptor tyrosine-protein kinase erbB-2
DB00073,Rituximab,BiotechDrug,P11836,B-lymphocyte antigen CD20
DB00074,Basiliximab,BiotechDrug,P01589,Interleukin-2 receptor subunit alpha
DB00074,Basiliximab,BiotechDrug,P14784,Interleukin-2 receptor subunit beta
DB00075,Muromonab,BiotechDrug,P04234,T-cell surface glycoprotein CD3 delta chain
DB00075,Muromonab,BiotechDrug,P07766,T-cell surface glycoprotein CD3 epsilon chain
DB00075,Muromonab,BiotechDrug,P09693,T-cell surface glycoprotein CD3 gamma chain
DB00075,Muromonab,BiotechDrug,P20963,T-cell surface glycoprotein CD3 zeta chain
DB00075,Muromonab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00078,Ibritumomab tiuxetan,BiotechDrug,P11836,B-lymphocyte antigen CD20
DB00081,Tositumomab,BiotechDrug,P11836,B-lymphocyte antigen CD20
DB00081,Tositumomab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00082,Pegvisomant,BiotechDrug,P10912,Growth hormone receptor
DB00083,Botulinum toxin type A,BiotechDrug,P60880,Synaptosomal-associated protein 25
DB00083,Botulinum toxin type A,BiotechDrug,P62745,Rho-related GTP-binding protein RhoB
DB00086,Streptokinase,BiotechDrug,P00747,Plasminogen
DB00086,Streptokinase,BiotechDrug,P25116,Proteinase-activated receptor 1
DB00087,Alemtuzumab,BiotechDrug,P31358,CAMPATH-1 antigen
DB00087,Alemtuzumab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00087,Alemtuzumab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00087,Alemtuzumab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00087,Alemtuzumab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00087,Alemtuzumab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00087,Alemtuzumab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00089,Capromab pendetide,BiotechDrug,Q04609,Glutamate carboxypeptidase 2
DB00091,Cyclosporine,SmallMoleculeDrug,P49069,Calcium signal-modulating cyclophilin ligand
DB00091,Cyclosporine,SmallMoleculeDrug,Q96LZ3,Calcineurin subunit B type 2
DB00091,Cyclosporine,SmallMoleculeDrug,P62937,Peptidyl-prolyl cis-trans isomerase A
DB00091,Cyclosporine,SmallMoleculeDrug,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
DB00092,Alefacept,BiotechDrug,P06729,T-cell surface antigen CD2
DB00092,Alefacept,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00092,Alefacept,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00094,Urofollitropin,BiotechDrug,P23945,Follicle-stimulating hormone receptor
DB00095,Efalizumab,BiotechDrug,P20702,Integrin alpha-X
DB00095,Efalizumab,BiotechDrug,P20701,Integrin alpha-L
DB00097,Choriogonadotropin alfa,BiotechDrug,P22888,Lutropin-choriogonadotropic hormone receptor
DB00097,Choriogonadotropin alfa,BiotechDrug,P23945,Follicle-stimulating hormone receptor
DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,Q95460,Major histocompatibility complex class I-related gene protein
DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P20701,Integrin alpha-L
DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P42081,T-lymphocyte activation antigen CD86
DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P01730,T-cell surface glycoprotein CD4
DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P05556,Integrin beta-1
DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P06756,Integrin alpha-V
DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P05106,Integrin beta-3
DB00098,Antithymocyte immunoglobulin (rabbit),BiotechDrug,P06126,T-cell surface glycoprotein CD1a
DB00099,Filgrastim,BiotechDrug,Q99062,Granulocyte colony-stimulating factor receptor
DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,P00742,Coagulation factor X
DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,P03951,Coagulation factor XI
DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,P08709,Coagulation factor VII
DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,P00451,Coagulation factor VIII
DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,P00734,Prothrombin
DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,Q07954,Prolow-density lipoprotein receptor-related protein 1
DB00100,Coagulation Factor IX (Recombinant),BiotechDrug,P38435,Vitamin K-dependent gamma-carboxylase
DB00102,Becaplermin,BiotechDrug,P09619,Platelet-derived growth factor receptor beta
DB00102,Becaplermin,BiotechDrug,P16234,Platelet-derived growth factor receptor alpha
DB00102,Becaplermin,BiotechDrug,P01023,Alpha-2-macroglobulin
DB00105,Interferon alfa-2b,BiotechDrug,P48551,Interferon alpha/beta receptor 2
DB00105,Interferon alfa-2b,BiotechDrug,P17181,Interferon alpha/beta receptor 1
DB00106,Abarelix,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor
DB00107,Oxytocin,BiotechDrug,P30559,Oxytocin receptor
DB00108,Natalizumab,BiotechDrug,P13612,Integrin alpha-4
DB00108,Natalizumab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00108,Natalizumab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00108,Natalizumab,BiotechDrug,P05362,Intercellular adhesion molecule 1
DB00109,Enfuvirtide,BiotechDrug,Q53I07,Envelope glycoprotein
DB00110,Palivizumab,BiotechDrug,P13843,Fusion glycoprotein F0
DB00110,Palivizumab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00110,Palivizumab,BiotechDrug,P00736,Complement C1r subcomponent
DB00110,Palivizumab,BiotechDrug,P02745,Complement C1q subcomponent subunit A
DB00110,Palivizumab,BiotechDrug,P02746,Complement C1q subcomponent subunit B
DB00110,Palivizumab,BiotechDrug,P02747,Complement C1q subcomponent subunit C
DB00110,Palivizumab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00110,Palivizumab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00110,Palivizumab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00112,Bevacizumab,BiotechDrug,P15692,Vascular endothelial growth factor A
DB00112,Bevacizumab,BiotechDrug,P02745,Complement C1q subcomponent subunit A
DB00112,Bevacizumab,BiotechDrug,P02746,Complement C1q subcomponent subunit B
DB00112,Bevacizumab,BiotechDrug,P02747,Complement C1q subcomponent subunit C
DB00112,Bevacizumab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00112,Bevacizumab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00112,Bevacizumab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00112,Bevacizumab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00112,Bevacizumab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9BYV1,"Alanine--glyoxylate aminotransferase 2, mitochondrial"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q99259,Glutamate decarboxylase 1
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P35520,Cystathionine beta-synthase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q16719,Kynureninase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P34896,"Serine hydroxymethyltransferase, cytosolic"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9Y697,"Cysteine desulfurase, mitochondrial"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P17174,"Aspartate aminotransferase, cytoplasmic"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P04181,"Ornithine aminotransferase, mitochondrial"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P11926,Ornithine decarboxylase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q8N5Z0,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P80404,"4-aminobutyrate aminotransferase, mitochondrial"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9NVS9,Pyridoxine-5'-phosphate oxidase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O95470,Sphingosine-1-phosphate lyase 1
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P17735,Tyrosine aminotransferase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q16773,Kynurenine--oxoglutarate transaminase 1
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O15270,Serine palmitoyltransferase 2
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9Y600,Cysteine sulfinic acid decarboxylase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P19113,Histidine decarboxylase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q96A70,Antizyme inhibitor 2
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P20132,L-serine dehydratase/L-threonine deaminase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O75600,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P23378,"Glycine dehydrogenase (decarboxylating), mitochondrial"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P24298,Alanine aminotransferase 1
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q9Y617,Phosphoserine aminotransferase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P13196,"5-aminolevulinate synthase, nonspecific, mitochondrial"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P21549,Serine--pyruvate aminotransferase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q96GD0,Pyridoxal phosphate phosphatase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O15269,Serine palmitoyltransferase 1
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P32929,Cystathionine gamma-lyase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P54687,"Branched-chain-amino-acid aminotransferase, cytosolic"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,O94903,Proline synthase co-transcribed bacterial homolog protein
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P00505,"Aspartate aminotransferase, mitochondrial"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P11216,"Glycogen phosphorylase, brain form"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P11217,"Glycogen phosphorylase, muscle form"
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,P20711,Aromatic-L-amino-acid decarboxylase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q53ET4,Serine hydroxymethyltransferase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q05329,Glutamate decarboxylase 2
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q6YP21,Kynurenine--oxoglutarate transaminase 3
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q6ZQY3,Acidic amino acid decarboxylase GADL1
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q96I15,Selenocysteine lyase
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q6WRI0,Immunoglobulin superfamily member 10
DB00114,Pyridoxal phosphate,SmallMoleculeDrug,Q8IUZ5,5-phosphohydroxy-L-lysine phospho-lyase
